height,weight,label
172,77,fat
129,51,fat
136,88,fat
142,37,thin
188,124,fat
193,116,fat
178,86,fat
147,81,fat
133,115,fat
161,79,fat
198,100,fat
172,67,normal
182,111,fat
165,56,normal
126,102,fat
200,58,thin
165,42,thin
196,76,normal
126,81,fat
156,65,fat
167,52,normal
152,107,fat
189,65,thin
199,116,fat
136,50,fat
147,42,normal
191,55,thin
142,124,fat
122,111,fat
122,96,fat
152,65,fat
161,120,fat
151,115,fat
188,109,fat
153,91,fat
192,53,thin
153,76,fat
151,121,fat
127,123,fat
170,125,fat
173,64,normal
176,68,normal
179,79,normal
124,118,fat
181,74,normal
123,108,fat
120,94,fat
156,58,normal
128,75,fat
137,54,fat
158,122,fat
143,78,fat
144,115,fat
169,50,thin
146,59,fat
193,99,fat
144,51,normal
167,84,fat
138,120,fat
128,92,fat
155,109,fat
131,116,fat
147,43,normal
200,128,fat
194,47,thin
188,128,fat
161,58,normal
162,88,fat
131,86,fat
123,128,fat
184,49,thin
169,41,thin
160,62,normal
154,87,fat
135,109,fat
126,103,fat
161,130,fat
136,36,normal
139,99,fat
186,76,normal
121,95,fat
130,62,fat
156,46,normal
157,95,fat
180,87,fat
181,98,fat
169,84,fat
196,72,normal
196,73,normal
158,98,fat
169,49,thin
141,77,fat
136,96,fat
174,92,fat
154,71,fat
169,82,fat
198,64,thin
122,92,fat
183,112,fat
121,119,fat
185,97,fat
194,71,normal
182,62,normal
161,122,fat
175,117,fat
197,109,fat
122,91,fat
183,118,fat
192,88,normal
165,98,fat
125,61,fat
177,75,normal
128,126,fat
187,65,normal
179,49,thin
169,63,normal
190,91,fat
165,80,fat
180,80,normal
158,96,fat
180,38,thin
141,85,fat
170,90,fat
168,94,fat
171,67,normal
156,46,normal
144,119,fat
136,96,fat
185,93,fat
167,59,normal
121,130,fat
134,106,fat
168,96,fat
188,110,fat
194,124,fat
142,112,fat
172,50,thin
154,119,fat
186,103,fat
158,97,fat
140,84,fat
179,51,thin
136,106,fat
